Model,TDP,TDP (Base),Cores (P),Cores (E),Cores (LP-E),Cores,Codename,Released,Clock rate
AMD A10-7860K,65.0,,,,,,,2016-03-01,
AMD A10-7870K,95.0,,,,,,,2015-06-01,
AMD A10-7890K,95.0,,,,,,,2016-04-01,
AMD A10-8700P,35.0,,,,,,,2015-07-01,
AMD A10-8750,65.0,,,,,,,2015-09-01,
AMD A10-9600P,15.0,,,,,,,2016-06-01,
AMD A10-9620P,15.0,,,,,,,2017-08-01,
AMD A10-9630P,35.0,,,,,,,2016-08-01,
AMD A10-9700,65.0,,,,,,,2016-12-01,
AMD A10-9700E,35.0,,,,,,,2017-11-01,
AMD A12-9700P,15.0,,,,,,,2016-08-01,
AMD A12-9720P,15.0,,,,,,,2017-07-01,
AMD A12-9730P,35.0,,,,,,,2017-07-01,
AMD A12-9800,65.0,,,,,,,2016-10-01,
AMD A12-9800E,35.0,,,,,,,2017-09-01,
AMD A4 Micro-6400T APU,4.5,,,,,,,2014-11-01,
AMD A4 PRO-3340B,25.0,,,,,,,2015-11-01,
AMD A4 PRO-7300B APU,65.0,,,,,,,2014-12-01,
AMD A4 PRO-7350B,65.0,,,,,,,2014-12-01,
AMD A4-1200 APU,3.9,,,,,,,2013-10-01,
AMD A4-1250 APU,8.0,,,,,,,2013-07-01,
AMD A4-3300 APU,65.0,,,,,,,2011-11-01,
AMD A4-3300M APU,65.0,,,,,,,2011-07-01,
AMD A4-3305M APU,35.0,,,,,,,2012-02-01,
AMD A4-3310MX APU,45.0,,,,,,,2011-10-01,
AMD A4-3320M APU,35.0,,,,,,,2012-03-01,
AMD A4-3330MX APU,45.0,,,,,,,2013-03-01,
AMD A4-3400 APU,65.0,,,,,,,2011-09-01,
AMD A4-3420 APU,65.0,,,,,,,2012-01-01,
AMD A4-4000 APU,65.0,,,,,,,2013-05-01,
AMD A4-4020 APU,65.0,,,,,,,2014-07-01,
AMD A4-4300M APU,35.0,,,,,,,2012-05-01,
AMD A4-4355M APU,17.0,,,,,,,2012-12-01,
AMD A4-5000 APU,15.0,,,,,,,2013-08-01,
AMD A4-5050 APU,13.5,,,,,,,2017-05-01,
AMD A4-5100 APU,15.0,,,,,,,2015-07-01,
