Model,TDP,TDP (Base),Cores (P),Cores (E),Cores (LP-E),Cores,Codename,Released,Clock rate
Intel Core i5-6685R,65.0,,,,,,,,
Intel Core i5-670,73.0,,,,,,,2010-01-01,
Intel Core i5-680,73.0,,,,,,,2010-05-01,
Intel Core i5-7200U,15.0,,,,,,,2016-10-01,
Intel Core i5-7260U,15.0,,,,,,,2017-04-01,
Intel Core i5-7267U,28.0,,,,,,,2017-07-01,
Intel Core i5-7287U,28.0,,,,,,,2018-05-01,
Intel Core i5-7300HQ,45.0,,,,,,,2017-01-01,
Intel Core i5-7300U,15.0,,,,,,,2017-02-01,
Intel Core i5-7360U,15.0,,,,,,,2017-06-01,
Intel Core i5-7400,65.0,,,,,,,2017-01-01,
Intel Core i5-7400T,35.0,,,,,,,2016-11-01,
Intel Core i5-7440EQ,45.0,,,,,,,2021-02-01,
Intel Core i5-7440HQ,45.0,,,,,,,2017-02-01,
Intel Core i5-7442EQ,25.0,,,,,,,2019-01-01,
Intel Core i5-750,95.0,,,,,,,2009-09-01,
Intel Core i5-7500,65.0,,,,,,,2016-12-01,
Intel Core i5-7500T,35.0,,,,,,,2017-01-01,
Intel Core i5-750S,82.0,,,,,,,,
Intel Core i5-760,95.0,,,,,,,2010-07-01,
Intel Core i5-7600,65.0,,,,,,,2017-01-01,
Intel Core i5-7600K,91.0,,,,,,,2017-01-01,
Intel Core i5-7600T,35.0,,,,,,,2017-01-01,
Intel Core i5-7640X,112.0,,,,,,,2017-07-01,
Intel Core i5-7Y54,4.5,,,,,,,2016-10-01,
Intel Core i5-7Y57,4.5,,,,,,,2017-02-01,
Intel Core i5-8200Y,5.0,,,,,,,2018-12-01,
Intel Core i5-8210Y,7.0,,,,,,,2019-02-01,
Intel Core i5-8250U,15.0,,,,,,,2017-07-01,
Intel Core i5-8257U,15.0,,,,,,,2019-11-01,
Intel Core i5-8259U,28.0,,,,,,,2018-08-01,
Intel Core i5-8260U,15.0,,,,,,,2020-05-01,
Intel Core i5-8265U,15.0,,,,,,,2018-09-01,
Intel Core i5-8269U,28.0,,,,,,,2021-04-01,
Intel Core i5-8279U,28.0,,,,,,,2019-09-01,
Intel Core i5-8300H,45.0,,,,,,,2018-05-01,
Intel Core i5-8305G,65.0,,,,,,,2018-07-01,
Intel Core i5-8310Y,7.0,,,,,,,,
Intel Core i5-8350U,15.0,,,,,,,2017-12-01,
Intel Core i5-8365U,15.0,,,,,,,2019-05-01,
Intel Core i5-8365UE,15.0,,,,,,,2019-11-01,
Intel Core i5-8400,65.0,,,,,,,2017-10-01,
Intel Core i5-8400B,65.0,,,,,,,,
Intel Core i5-8400H,45.0,,,,,,,2018-07-01,
Intel Core i5-8400T,35.0,,,,,,,2018-05-01,
Intel Core i5-8500,65.0,,,,,,,2018-03-01,
Intel Core i5-8500B,65.0,,,,,,,2019-01-01,
Intel Core i5-8500T,35.0,,,,,,,2018-04-01,
Intel Core i5-8600,65.0,,,,,,,2018-05-01,
Intel Core i5-8600K,95.0,,,,,,,2017-10-01,
Intel Core i5-8600T,35.0,,,,,,,2018-04-01,
Intel Core i5-9300H,45.0,,,,,,,2019-05-01,
Intel Core i5-9300HF,45.0,,,,,,,2020-04-01,
Intel Core i5-9400,65.0,,,,,,,2019-03-01,
Intel Core i5-9400F,65.0,,,,,,,2019-02-01,
Intel Core i5-9400H,45.0,,,,,,,2019-07-01,
Intel Core i5-9400T,35.0,,,,,,,2019-07-01,
Intel Core i5-9500,65.0,,,,,,,2019-05-01,
Intel Core i5-9500E,65.0,,,,,,,,
Intel Core i5-9500F,65.0,,,,,,,2019-07-01,
Intel Core i5-9500T,35.0,,,,,,,2019-05-01,
Intel Core i5-9500TE,35.0,,,,,,,2020-05-01,
Intel Core i5-9600,65.0,,,,,,,2019-09-01,
Intel Core i5-9600K,95.0,,,,,,,2018-10-01,
Intel Core i5-9600KF,95.0,,,,,,,2019-05-01,
Intel Core i5-9600T,35.0,,,,,,,2019-11-01,
Intel Core i5-L16G7,7.0,,,,,,,2020-07-01,
Intel Core i7-10510U,15.0,,,,,,,2019-09-01,
Intel Core i7-10510Y,7.0,,,,,,,2020-08-01,
Intel Core i7-1060G7,9.0,,,,,,,,
Intel Core i7-1060NG7,10.0,,,,,,,2020-05-01,
Intel Core i7-10610U,25.0,,,,,,,2020-04-02,
Intel Core i7-1065G7,15.0,,,,,,,2019-06-01,
Intel Core i7-1068G7,28.0,,,,,,,,
Intel Core i7-1068NG7,28.0,,,,,,,2020-05-01,
Intel Core i7-10700,65.0,,,,,,,2020-06-01,
Intel Core i7-10700E,65.0,,,,,,,2021-12-01,
Intel Core i7-10700F,65.0,,,,,,,2020-07-01,
Intel Core i7-10700K,125.0,,,,,,,2020-05-01,
Intel Core i7-10700KF,125.0,,,,,,,2020-06-01,
Intel Core i7-10700T,35.0,,,,,,,2020-07-01,
Intel Core i7-10700TE,35.0,,,,,,,2021-02-01,
Intel Core i7-10710U,15.0,,,,,,,2019-10-01,
Intel Core i7-10750H,45.0,,,,,,,2020-01-01,
Intel Core i7-10810U,25.0,,,,,,,2020-04-02,
Intel Core i7-10850H,45.0,,,,,,,2020-05-01,
Intel Core i7-10870H,45.0,,,,,,,2020-10-01,
Intel Core i7-10875H,45.0,,,,,,,2020-05-01,
Intel Core i7-11370H,35.0,,,,,,,2021-02-01,
Intel Core i7-11375H,35.0,,,,,,,2021-02-01,
Intel Core i7-11390H,35.0,,,,,,,2021-11-01,
Intel Core i7-11600H,45.0,,,,,,,2021-11-01,
Intel Core i7-1160G7,15.0,,,,,,,,
Intel Core i7-1165G7,28.0,,,,,,,,
Intel Core i7-11700,95.0,,,,,,,2021-01-01,
Intel Core i7-11700B,65.0,,,,,,,2021-11-01,
Intel Core i7-11700F,65.0,,,,,,,2021-04-01,
Intel Core i7-11700K,125.0,,,,,,,2020-12-01,
Intel Core i7-11700KF,125.0,,,,,,,2021-03-01,
Intel Core i7-11700T,35.0,,,,,,,2021-10-01,
Intel Core i7-11800H,45.0,,,,,,,2021-05-01,
Intel Core i7-1180G7,15.0,,,,,,,2021-02-01,
Intel Core i7-11850H,45.0,,,,,,,2021-05-01,
Intel Core i7-11850HE,45.0,,,,,,,,
Intel Core i7-1185G7,28.0,,,,,,,,
Intel Core i7-1185G7E,28.0,,,,,,,,
Intel Core i7-1185GRE,28.0,,,,,,,,
Intel Core i7-1195G7,28.0,,,,,,,2021-09-01,
Intel Core i7-1250U,9.0,,,,,,,2022-08-01,
Intel Core i7-1255U,15.0,,,,,,,2022-03-01,
Intel Core i7-1260P,28.0,,,,,,,2022-01-01,
Intel Core i7-1260U,9.0,,,,,,,2022-09-01,
Intel Core i7-12650H,45.0,,,,,,,2022-03-01,
Intel Core i7-12650HX,55.0,,,,,,,2022-05-10,
Intel Core i7-1265U,15.0,,,,,,,2022-03-01,
Intel Core i7-1265UE,28.0,,,,,,,2022-11-01,
Intel Core i7-12700,65.0,,,,,,,2022-01-01,
Intel Core i7-12700E,65.0,,,,,,,2022-09-01,
Intel Core i7-12700F,65.0,,,,,,,2022-01-01,
Intel Core i7-12700H,45.0,,,,,,,2022-02-01,
Intel Core i7-12700K,190.0,,,,,,,2021-11-01,
Intel Core i7-12700KF,190.0,,,,,,,2021-11-01,
Intel Core i7-12700T,35.0,,,,,,,2022-04-01,
Intel Core i7-12700TE,35.0,,,,,,,2022-08-01,
Intel Core i7-1270P,28.0,,,,,,,2022-02-01,
Intel Core i7-12800H,45.0,,,,,,,2022-03-01,
Intel Core i7-12800HE,45.0,,,,,,,,
Intel Core i7-12800HX,55.0,,,,,,,2022-06-01,
Intel Core i7-1280P,28.0,,,,,,,2022-03-01,
Intel Core i7-12850HX,55.0,,,,,,,2022-06-01,
Intel Core i7-1355U,15.0,,,,,,,2023-01-04,
Intel Core i7-1360P,28.0,,,,,,,2023-01-04,
Intel Core i7-13620H,45.0,,,,,,,2023-01-04,
Intel Core i7-13650HX,55.0,,,,,,,2023-01-04,
Intel Core i7-1365U,15.0,,,,,,,2023-01-04,
Intel Core i7-1365UE,15.0,,,,,,,2023-01-04,
Intel Core i7-1366URE,15.0,,,,,,,2023-01-04,
Intel Core i7-13700,65.0,,,,,,,2022-08-01,
Intel Core i7-13700E,65.0,,,,,,,2023-01-04,
Intel Core i7-13700F,65.0,,,,,,,2023-01-04,
Intel Core i7-13700H,45.0,,,,,,,2023-01-04,
Intel Core i7-13700HX,55.0,,,,,,,2023-01-04,
Intel Core i7-13700K,125.0,,,,,,,2022-10-01,
Intel Core i7-13700KF,125.0,,,,,,,2022-10-01,
Intel Core i7-13700T,35.0,,,,,,,2023-01-04,
Intel Core i7-13700TE,35.0,,,,,,,2023-01-04,
Intel Core i7-13705H,45.0,,,,,,,2023-01-04,
Intel Core i7-1370P,28.0,,,,,,,2023-01-04,
Intel Core i7-1375PRE,28.0,,,,,,,2023-01-04,
Intel Core i7-13790F,65.0,,,,,,,2023-02-10,
Intel Core i7-13800H,45.0,,,,,,,2023-01-04,
Intel Core i7-13850HX,55.0,,,,,,,2023-01-04,
Intel Core i7-14650HX,55.0,,,,,,,2024-01-08,
Intel Core i7-14700,65.0,,,,,,,2024-01-08,
Intel Core i7-14700F,65.0,,,,,,,2024-01-08,
Intel Core i7-14700HX,55.0,,,,,,,2024-01-08,
Intel Core i7-14700K,125.0,,,,,,,2023-10-17,
Intel Core i7-14700KF,125.0,,,,,,,2023-10-17,
Intel Core i7-14700T,35.0,,,,,,,2024-01-08,
Intel Core i7-14701E,65.0,,,,,,,,
Intel Core i7-14701TE,45.0,,,,,,,,
Intel Core i7-2600,95.0,,,,,,,2010-12-01,
Intel Core i7-2600K,95.0,,,,,,,2010-11-01,
Intel Core i7-2600S,65.0,,,,,,,2011-02-01,
Intel Core i7-2610UE,17.0,,,,,,,2012-07-01,
Intel Core i7-2617M,17.0,,,,,,,2011-05-01,
Intel Core i7-2620M,35.0,,,,,,,2011-01-01,
Intel Core i7-2629M,25.0,,,,,,,,
Intel Core i7-2630QM,45.0,,,,,,,2011-01-01,
Intel Core i7-2635QM,45.0,,,,,,,2011-02-01,
Intel Core i7-2637M,17.0,,,,,,,2011-12-01,
Intel Core i7-2640M,35.0,,,,,,,2011-10-01,
Intel Core i7-2649M,25.0,,,,,,,,
Intel Core i7-2655LE,25.0,,,,,,,2011-04-01,
Intel Core i7-2657M,17.0,,,,,,,,
Intel Core i7-2670QM,45.0,,,,,,,2011-09-01,
Intel Core i7-2675QM,45.0,,,,,,,2011-09-01,
Intel Core i7-2677M,17.0,,,,,,,2011-07-01,
Intel Core i7-2700K,95.0,,,,,,,2011-10-01,
Intel Core i7-2710QE,45.0,,,,,,,2011-09-01,
Intel Core i7-2715QE,45.0,,,,,,,2011-09-01,
Intel Core i7-2720QM,45.0,,,,,,,2011-01-01,
Intel Core i7-2760QM,45.0,,,,,,,2011-09-01,
Intel Core i7-2820QM,45.0,,,,,,,2011-02-01,
Intel Core i7-2860QM,45.0,,,,,,,2011-09-01,
Intel Core i7-2920XM,55.0,,,,,,,2011-02-01,
Intel Core i7-2960XM,55.0,,,,,,,2011-10-01,
Intel Core i7-3517U,17.0,,,,,,,2012-06-01,
Intel Core i7-3517UE,17.0,,,,,,,2012-06-01,
Intel Core i7-3520M,35.0,,,,,,,2012-06-01,
Intel Core i7-3537U,17.0,,,,,,,2013-01-01,
Intel Core i7-3540M,35.0,,,,,,,2013-01-01,
Intel Core i7-3555LE,25.0,,,,,,,2012-06-01,
Intel Core i7-3610QE,45.0,,,,,,,2012-04-01,
Intel Core i7-3610QM,45.0,,,,,,,2012-04-01,
Intel Core i7-3612QE,35.0,,,,,,,2012-10-01,
Intel Core i7-3612QM,35.0,,,,,,,2012-05-01,
Intel Core i7-3615QE,45.0,,,,,,,2012-04-01,
Intel Core i7-3615QM,45.0,,,,,,,2012-05-01,
Intel Core i7-3630QM,45.0,,,,,,,2012-01-01,
Intel Core i7-3632QM,35.0,,,,,,,2012-09-01,
Intel Core i7-3635QM,45.0,,,,,,,2012-01-01,
Intel Core i7-3667U,17.0,,,,,,,2012-06-01,
Intel Core i7-3687U,17.0,,,,,,,2013-01-01,
Intel Core i7-3689Y,13.0,,,,,,,2013-01-01,
Intel Core i7-3720QM,45.0,,,,,,,2012-04-01,
Intel Core i7-3740QM,45.0,,,,,,,2012-09-01,
Intel Core i7-3770,77.0,,,,,,,2012-03-01,
Intel Core i7-3770K,77.0,,,,,,,2012-04-01,
Intel Core i7-3770S,65.0,,,,,,,2012-05-01,
Intel Core i7-3770T,45.0,,,,,,,2012-05-01,
Intel Core i7-3820,130.0,,,,,,,2012-01-01,
Intel Core i7-3820QM,45.0,,,,,,,2012-05-01,
Intel Core i7-3840QM,45.0,,,,,,,2012-08-01,
Intel Core i7-3920XM,55.0,,,,,,,2012-05-01,
Intel Core i7-3930K,130.0,,,,,,,2011-11-01,
Intel Core i7-3940XM,55.0,,,,,,,2012-10-01,
Intel Core i7-3960X,130.0,,,,,,,2011-11-01,
Intel Core i7-3970X,150.0,,,,,,,2012-01-01,
Intel Core i7-4500U,15.0,,,,,,,2013-01-01,
Intel Core i7-4510U,15.0,,,,,,,2014-05-01,
Intel Core i7-4550U,15.0,,,,,,,2014-02-01,
Intel Core i7-4558U,28.0,,,,,,,2013-01-01,
Intel Core i7-4578U,28.0,,,,,,,2014-09-01,
Intel Core i7-4600M,37.0,,,,,,,2013-10-01,
Intel Core i7-4600U,15.0,,,,,,,2013-07-01,
Intel Core i7-4610M,37.0,,,,,,,2014-06-01,
Intel Core i7-4610Y,11.5,,,,,,,2013-01-01,
Intel Core i7-4650U,15.0,,,,,,,2013-01-01,
Intel Core i7-4700EC,43.0,,,,,,,,
Intel Core i7-4700EQ,47.0,,,,,,,2013-06-01,
Intel Core i7-4700HQ,47.0,,,,,,,2013-01-01,
Intel Core i7-4700MQ,47.0,,,,,,,2013-06-01,
Intel Core i7-4701EQ,47.0,,,,,,,,
Intel Core i7-4702EC,27.0,,,,,,,,
Intel Core i7-4702HQ,37.0,,,,,,,2013-04-01,
Intel Core i7-4702MQ,37.0,,,,,,,2013-01-01,
Intel Core i7-4710HQ,47.0,,,,,,,2014-05-01,
Intel Core i7-4710MQ,47.0,,,,,,,2014-04-01,
Intel Core i7-4712HQ,37.0,,,,,,,2014-06-01,
Intel Core i7-4712MQ,37.0,,,,,,,2014-05-01,
Intel Core i7-4720HQ,47.0,,,,,,,2014-12-01,
Intel Core i7-4722HQ,37.0,,,,,,,2015-07-01,
Intel Core i7-4750HQ,47.0,,,,,,,2013-06-01,
Intel Core i7-4760HQ,47.0,,,,,,,2014-10-01,
Intel Core i7-4765T,35.0,,,,,,,2013-04-01,
Intel Core i7-4770,84.0,,,,,,,2013-06-01,
Intel Core i7-4770HQ,47.0,,,,,,,2014-10-01,
Intel Core i7-4770K,84.0,,,,,,,2013-06-01,
Intel Core i7-4770R,65.0,,,,,,,2014-01-01,
Intel Core i7-4770S,65.0,,,,,,,2013-06-01,
Intel Core i7-4770T,45.0,,,,,,,2013-01-01,
Intel Core i7-4770TE,45.0,,,,,,,2015-07-01,
Intel Core i7-4771,84.0,,,,,,,2013-01-01,
Intel Core i7-4785T,35.0,,,,,,,2014-06-01,
Intel Core i7-4790,84.0,,,,,,,2014-05-01,
Intel Core i7-4790K,88.0,,,,,,,2014-06-01,
Intel Core i7-4790S,65.0,,,,,,,2014-06-01,
Intel Core i7-4790T,45.0,,,,,,,2014-05-01,
Intel Core i7-4800MQ,47.0,,,,,,,2013-01-01,
Intel Core i7-4810MQ,47.0,,,,,,,2014-03-01,
Intel Core i7-4820K,130.0,,,,,,,2013-07-01,
Intel Core i7-4850EQ,47.0,,,,,,,,
Intel Core i7-4850HQ,47.0,,,,,,,2013-07-01,
Intel Core i7-4860EQ,47.0,,,,,,,2015-11-01,
Intel Core i7-4860HQ,47.0,,,,,,,2014-08-01,
Intel Core i7-4870HQ,47.0,,,,,,,2014-08-01,
Intel Core i7-4900MQ,47.0,,,,,,,2013-01-01,
Intel Core i7-4910MQ,47.0,,,,,,,2014-05-01,
Intel Core i7-4930K,130.0,,,,,,,2013-01-01,
Intel Core i7-4930MX,57.0,,,,,,,2013-01-01,
Intel Core i7-4940MX,57.0,,,,,,,2014-03-01,
Intel Core i7-4950HQ,47.0,,,,,,,,
Intel Core i7-4960HQ,47.0,,,,,,,2013-09-01,
Intel Core i7-4960X,130.0,,,,,,,2013-01-01,
Intel Core i7-4980HQ,47.0,,,,,,,2014-08-01,
Intel Core i7-5500U,15.0,,,,,,,2015-01-01,
Intel Core i7-5550U,15.0,,,,,,,2016-04-01,
Intel Core i7-5557U,28.0,,,,,,,2015-03-01,
Intel Core i7-5600U,15.0,,,,,,,2015-01-01,
Intel Core i7-5650U,15.0,,,,,,,2015-03-01,
Intel Core i7-5675C,65.0,,,,,,,2015-10-01,
Intel Core i7-5700EQ,47.0,,,,,,,2015-08-01,
Intel Core i7-5700HQ,47.0,,,,,,,2015-06-01,
Intel Core i7-5750HQ,47.0,,,,,,,,
Intel Core i7-5775C,65.0,,,,,,,2015-06-01,
Intel Core i7-5775R,65.0,,,,,,,2016-05-01,
Intel Core i7-5820K,140.0,,,,,,,2014-09-01,
Intel Core i7-5850EQ,47.0,,,,,,,2018-11-01,
Intel Core i7-5850HQ,47.0,,,,,,,2015-12-01,
Intel Core i7-5930K,140.0,,,,,,,2014-08-01,
Intel Core i7-5950HQ,47.0,,,,,,,2015-07-01,
Intel Core i7-5960X,140.0,,,,,,,2014-08-01,
Intel Core i7-610E,35.0,,,,,,,2011-11-01,
Intel Core i7-620LE,25.0,,,,,,,,
Intel Core i7-620LM,25.0,,,,,,,2010-04-01,
Intel Core i7-620M,35.0,,,,,,,2010-01-01,
Intel Core i7-620UE,18.0,,,,,,,,
Intel Core i7-620UM,18.0,,,,,,,2010-03-01,
Intel Core i7-640LM,25.0,,,,,,,2010-02-01,
Intel Core i7-640M,35.0,,,,,,,2010-10-01,
Intel Core i7-640UM,18.0,,,,,,,2010-06-01,
Intel Core i7-6498DU,15.0,,,,,,,2016-11-01,
Intel Core i7-6500U,15.0,,,,,,,2015-09-01,
Intel Core i7-6560U,15.0,,,,,,,2016-02-01,
Intel Core i7-6567U,28.0,,,,,,,2016-02-01,
Intel Core i7-6600U,15.0,,,,,,,2015-09-01,
Intel Core i7-660LM,25.0,,,,,,,,
Intel Core i7-660UE,18.0,,,,,,,,
Intel Core i7-660UM,18.0,,,,,,,2010-11-01,
Intel Core i7-6650U,15.0,,,,,,,2015-11-01,
Intel Core i7-6660U,15.0,,,,,,,2018-08-01,
Intel Core i7-6700,65.0,,,,,,,2015-09-01,
Intel Core i7-6700HQ,45.0,,,,,,,2015-08-01,
Intel Core i7-6700K,95.0,,,,,,,2015-07-01,
Intel Core i7-6700T,35.0,,,,,,,2015-10-01,
Intel Core i7-6700TE,35.0,,,,,,,2016-06-01,
Intel Core i7-6770HQ,45.0,,,,,,,2016-04-01,
Intel Core i7-6785R,65.0,,,,,,,,
Intel Core i7-6800K,140.0,,,,,,,2016-05-01,
Intel Core i7-680UM,18.0,,,,,,,2011-02-01,
Intel Core i7-6820EQ,45.0,,,,,,,2016-06-01,
Intel Core i7-6820HK,45.0,,,,,,,2015-10-01,
Intel Core i7-6820HQ,45.0,,,,,,,2015-11-01,
Intel Core i7-6822EQ,25.0,,,,,,,2016-02-01,
Intel Core i7-6850K,140.0,,,,,,,2016-06-01,
Intel Core i7-6870HQ,45.0,,,,,,,,
Intel Core i7-6900K,140.0,,,,,,,2016-06-01,
Intel Core i7-6920HQ,45.0,,,,,,,2016-02-01,
Intel Core i7-6950X,140.0,,,,,,,2016-06-01,
Intel Core i7-6970HQ,45.0,,,,,,,,
Intel Core i7-720QM,45.0,,,,,,,2009-10-01,
Intel Core i7-740QM,45.0,,,,,,,2010-06-01,
Intel Core i7-7500U,15.0,,,,,,,2016-10-01,
Intel Core i7-7560U,15.0,,,,,,,2017-03-01,
Intel Core i7-7567U,28.0,,,,,,,2017-03-01,
Intel Core i7-7600U,15.0,,,,,,,2017-01-01,
Intel Core i7-7660U,15.0,,,,,,,2017-05-01,
Intel Core i7-7700,65.0,,,,,,,2016-12-01,
Intel Core i7-7700HQ,45.0,,,,,,,2016-12-01,
Intel Core i7-7700K,95.0,,,,,,,2016-10-01,
Intel Core i7-7700T,35.0,,,,,,,2017-02-01,
Intel Core i7-7740X,112.0,,,,,,,2017-07-01,
Intel Core i7-7800X,140.0,,,,,,,2017-06-01,
Intel Core i7-7820EQ,45.0,,,,,,,2019-06-01,
Intel Core i7-7820HK,45.0,,,,,,,2017-01-01,
Intel Core i7-7820HQ,45.0,,,,,,,2017-02-01,
Intel Core i7-7820X,140.0,,,,,,,2017-06-01,
Intel Core i7-7900X,140.0,,,,,,,2017-08-01,
Intel Core i7-7920HQ,45.0,,,,,,,2017-04-01,
Intel Core i7-7Y75,4.5,,,,,,,2016-10-01,
Intel Core i7-8086K,95.0,,,,,,,2018-06-01,
Intel Core i7-820QM,45.0,,,,,,,2009-10-01,
Intel Core i7-840QM,45.0,,,,,,,2010-07-01,
Intel Core i7-8500Y,5.0,,,,,,,2018-10-01,
Intel Core i7-8550U,15.0,,,,,,,2017-08-01,
Intel Core i7-8557U,15.0,,,,,,,2019-12-01,
Intel Core i7-8559U,28.0,,,,,,,2018-08-01,
Intel Core i7-8565U,15.0,,,,,,,2018-08-01,
Intel Core i7-8565UC,15.0,,,,,,,2020-04-01,
Intel Core i7-8569U,28.0,,,,,,,2020-02-01,
Intel Core i7-860,95.0,,,,,,,2009-09-01,
Intel Core i7-860S,82.0,,,,,,,2011-04-01,
Intel Core i7-8650U,15.0,,,,,,,2017-08-01,
Intel Core i7-8665U,15.0,,,,,,,2019-04-01,
Intel Core i7-8665UE,15.0,,,,,,,2019-11-01,
Intel Core i7-870,95.0,,,,,,,2009-09-01,
Intel Core i7-8700,65.0,,,,,,,2017-10-01,
Intel Core i7-8700B,65.0,,,,,,,2019-01-01,
Intel Core i7-8700K,95.0,,,,,,,2017-10-01,
Intel Core i7-8700T,35.0,,,,,,,2018-03-01,
Intel Core i7-8705G,65.0,,,,,,,2018-02-01,
Intel Core i7-8706G,65.0,,,,,,,2018-07-01,
Intel Core i7-8709G,100.0,,,,,,,2018-11-01,
Intel Core i7-870S,82.0,,,,,,,2010-12-01,
Intel Core i7-8750H,45.0,,,,,,,2018-04-01,
Intel Core i7-875K,95.0,,,,,,,2010-06-01,
Intel Core i7-880,95.0,,,,,,,2010-07-01,
Intel Core i7-8809G,100.0,,,,,,,2018-03-01,
Intel Core i7-8850H,45.0,,,,,,,2018-04-01,
Intel Core i7-920,130.0,,,,,,,2008-11-01,
Intel Core i7-920XM,55.0,,,,,,,2009-11-01,
Intel Core i7-930,130.0,,,,,,,2010-02-01,
Intel Core i7-940,130.0,,,,,,,2008-12-01,
Intel Core i7-940XM,55.0,,,,,,,2010-07-01,
Intel Core i7-950,130.0,,,,,,,2009-06-01,
Intel Core i7-960,130.0,,,,,,,2009-10-01,
Intel Core i7-965,130.0,,,,,,,2008-11-01,
Intel Core i7-970,130.0,,,,,,,2010-07-01,
Intel Core i7-9700,65.0,,,,,,,2019-06-01,
Intel Core i7-9700E,65.0,,,,,,,2020-11-01,
Intel Core i7-9700F,65.0,,,,,,,2019-06-01,
Intel Core i7-9700K,95.0,,,,,,,2018-10-01,
Intel Core i7-9700KF,95.0,,,,,,,2019-04-01,
Intel Core i7-9700T,35.0,,,,,,,2019-07-01,
Intel Core i7-9700TE,35.0,,,,,,,2019-12-01,
Intel Core i7-975,130.0,,,,,,,2009-06-01,
Intel Core i7-9750H,45.0,,,,,,,2019-04-01,
Intel Core i7-9750HF,45.0,,,,,,,2020-01-01,
Intel Core i7-980,130.0,,,,,,,2011-07-01,
Intel Core i7-9800X,165.0,,,,,,,2018-12-01,
Intel Core i7-980X,130.0,,,,,,,2010-03-01,
Intel Core i7-9850H,45.0,,,,,,,2019-06-01,
Intel Core i7-9850HE,45.0,,,,,,,,
Intel Core i7-9850HL,25.0,,,,,,,2019-12-01,
Intel Core i7-990X,130.0,,,,,,,2011-01-01,
Intel Core i9-10800F,65.0,,,,,,,2020-04-30,
Intel Core i9-10850K,125.0,,,,,,,2020-08-01,
Intel Core i9-10880H,45.0,,,,,,,2020-07-01,
Intel Core i9-10885H,45.0,,,,,,,2020-07-01,
Intel Core i9-10900,65.0,,,,,,,2020-05-01,
Intel Core i9-10900E,65.0,,,,,,,2021-11-01,
Intel Core i9-10900F,65.0,,,,,,,2020-07-01,
Intel Core i9-10900K,125.0,,,,,,,2020-05-01,
Intel Core i9-10900KF,125.0,,,,,,,2020-06-01,
Intel Core i9-10900T,35.0,,,,,,,2020-06-01,
Intel Core i9-10900TE,35.0,,,,,,,2021-03-01,
Intel Core i9-10900X,165.0,,,,,,,2019-12-01,
Intel Core i9-10910,125.0,,,,,,,2020-08-01,
Intel Core i9-10920X,165.0,,,,,,,2019-12-01,
Intel Core i9-10940X,165.0,,,,,,,2019-12-01,
Intel Core i9-10980HK,45.0,,,,,,,2020-04-01,
Intel Core i9-10980XE,165.0,,,,,,,2019-12-01,
Intel Core i9-10990XE,380.0,,,,,,,,
Intel Core i9-11900,65.0,,,,,,,2021-04-01,
Intel Core i9-11900F,65.0,,,,,,,2021-04-01,
Intel Core i9-11900H,45.0,,,,,,,2021-07-01,
Intel Core i9-11900K,125.0,,,,,,,2021-01-01,
Intel Core i9-11900KB,65.0,,,,,,,2021-07-01,
Intel Core i9-11900KF,125.0,,,,,,,2021-04-01,
Intel Core i9-11900T,35.0,,,,,,,2021-05-01,
Intel Core i9-11950H,45.0,,,,,,,2021-06-01,
Intel Core i9-11980HK,45.0,,,,,,,2021-05-01,
Intel Core i9-12900,65.0,,,,,,,2022-02-01,
Intel Core i9-12900E,65.0,,,,,,,2022-10-01,
Intel Core i9-12900F,65.0,,,,,,,2022-01-01,
Intel Core i9-12900H,45.0,,,,,,,2022-02-01,
Intel Core i9-12900HK,45.0,,,,,,,2022-01-01,
Intel Core i9-12900HX,55.0,,,,,,,2022-06-01,
Intel Core i9-12900K,241.0,,,,,,,2021-11-01,
Intel Core i9-12900KF,241.0,,,,,,,2021-11-01,
Intel Core i9-12900KS,150.0,,,,,,,2022-04-01,
Intel Core i9-12900T,35.0,,,,,,,2022-01-01,
Intel Core i9-12900TE,35.0,,,,,,,2022-01-04,
Intel Core i9-12950HX,55.0,,,,,,,2022-05-01,
Intel Core i9-13900,65.0,,,,,,,2023-01-04,
Intel Core i9-13900E,65.0,,,,,,,2023-01-04,
Intel Core i9-13900F,65.0,,,,,,,2023-01-04,
Intel Core i9-13900H,45.0,,,,,,,2023-01-04,
Intel Core i9-13900HK,45.0,,,,,,,2023-01-04,
Intel Core i9-13900HX,55.0,,,,,,,2023-01-04,
Intel Core i9-13900K,125.0,,,,,,,2022-09-01,
Intel Core i9-13900KF,125.0,,,,,,,2022-10-01,
Intel Core i9-13900KS,150.0,,,,,,,2023-01-12,
Intel Core i9-13900T,35.0,,,,,,,2023-01-04,
Intel Core i9-13900TE,35.0,,,,,,,2023-01-04,
Intel Core i9-13905H,45.0,,,,,,,2023-01-04,
Intel Core i9-13950HX,55.0,,,,,,,2023-01-04,
Intel Core i9-13980HX,55.0,,,,,,,2023-01-04,
Intel Core i9-14900,65.0,,,,,,,2024-01-08,
Intel Core i9-14900F,65.0,,,,,,,2024-01-08,
Intel Core i9-14900HX,55.0,,,,,,,2024-01-08,
Intel Core i9-14900K,125.0,,,,,,,2023-10-17,
Intel Core i9-14900KF,125.0,,,,,,,2023-10-17,
Intel Core i9-14900KS,150.0,,,,,,,2024-03-14,
Intel Core i9-14900T,35.0,,,,,,,2024-01-08,
